Potential applied (V)	Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Scan	Index	WE(1).Charge (C)	Q+	Q-
-0.294952392578125	6.65755698319128	-8.25042724609375E-05	-0.29290771484375	1	1	0		
-0.2899169921875	6.75826498293702	-5.621337890625E-05	-0.28948974609375	1	2	-6.98498888596077E-06		
-0.284881591796875	6.85897298268276	-4.19677734375E-05	-0.284515380859375	1	3	-1.19288024507114E-05		
-0.27984619140625	6.95968098242849	-3.297119140625E-05	-0.279449462890625	1	4	-1.57022786879679E-05		
-0.274810791015625	7.06038898217423	-2.669677734375E-05	-0.274444580078125	1	5	-1.8706799892243E-05		
-0.269775390625	7.16109698191997	-2.2039794921875E-05	-0.2694091796875	1	6	-2.11608803510899E-05		
-0.264739990234375	7.2618049816657	-1.84173583984375E-05	-0.26434326171875	1	7	-2.31980611715699E-05		
-0.25970458984375	7.36251298141144	-1.55059814453125E-05	-0.259368896484375	1	8	-2.49062359216623E-05		
-0.254669189453125	7.46322098115718	-1.3104248046875E-05	-0.254302978515625	1	9	-2.63468755292706E-05		
-0.2496337890625	7.56392898090292	-1.10809326171875E-05	-0.249359130859375	1	10	-2.75646962109022E-05		
-0.244598388671875	7.66463698064865	-9.3475341796875E-06	-0.244293212890625	1	11	-2.8593351089512E-05		
-0.23956298828125	7.76534498039439	-7.8460693359375E-06	-0.2392578125	1	12	-2.94591172860237E-05		
-0.234527587890625	7.86605298014013	-6.5277099609375E-06	-0.2342529296875	1	13	-3.0182894988684E-05		
-0.2294921875	7.96676097988586	-5.3466796875E-06	-0.229156494140625	1	14	-3.07808186335023E-05		
-0.224456787109375	8.0674689796316	-4.2938232421875E-06	-0.22418212890625	1	15	-3.12662559736054E-05		
-0.21942138671875	8.16817697937734	-3.3587646484375E-06	-0.219085693359375	1	16	-3.16515943268314E-05		
-0.214385986328125	8.26888497912307	-2.49908447265625E-06	-0.214080810546875	1	17	-3.19465616485104E-05		
-0.2093505859375	8.36959297886881	-1.70745849609375E-06	-0.20904541015625	1	18	-3.21583756885957E-05		
-0.204315185546875	8.47030097861455	-9.8602294921875E-07	-0.204010009765625	1	19	-3.22940031765029E-05		
-0.19927978515625	8.57100897836028	-3.167724609375E-07	-0.19903564453125	1	20	-3.23596068483312E-05		
-0.194244384765625	8.67171697810602	3.0426025390625E-07	-0.193939208984375	1	21	-3.23602362186648E-05		
-0.189208984375	8.77242497785176	8.880615234375E-07	-0.188934326171875	1	22	-3.23001986544114E-05		
-0.184173583984375	8.87313297759749	1.4373779296875E-06	-0.183990478515625	1	23	-3.21831030305475E-05		
-0.17913818359375	8.97384097734323	1.95465087890625E-06	-0.178924560546875	1	24	-3.20122999255545E-05		
-0.174102783203125	9.07454897708897	2.4444580078125E-06	-0.17388916015625	1	25	-3.17907870339695E-05		
-0.1690673828125	9.1752569768347	2.911376953125E-06	-0.168914794921875	1	26	-3.1521100027021E-05		
-0.164031982421875	9.27596497658044	3.3612060546875E-06	-0.163848876953125	1	27	-3.12052507069893E-05		
